,name,image_path
285,Jeremy Sumpter,/erNaw0imhMzn3OqGcOQPQeQ4RtI.jpg
286,Charlotte Gainsbourg,/4TKuzaPGVH1BRMp6v22hAPkclkK.jpg
287,Viola Davis,/bqdE1CNQ7LokkzMZgKJlgDE5n6U.jpg
288,Dan Duryea,/577hAUPy04u98IwsHKO2rQriJ2e.jpg
289,Jamie Foxx,/1yr8Pv1tSWnQkCwDLrzUIzZVurM.jpg
290,Cliff Curtis,/dkSlTaKKe0uaKKAscVaSHlGq4g3.jpg
291,Cara Delevingne,/zYDFAIgSihaLiYoFzQU9Wl5VkvO.jpg
292,James Gandolfini,/19r3knxqTAPUgfItOPXg3ouOcpI.jpg
293,Ida Lupino,/fjIFL366O3LDr9mPnZd1P8nuB7A.jpg
294,Patrick Wilson,/djhTpbOvrfdDsWZFFintj2Uv47a.jpg
295,Mel Gibson,/6VGgL0bBvPIJ9vDOyyGf5nK2zL4.jpg
296,James Purefoy,/5HJn5a5xHsQYVvbVSDyytZB5Tci.jpg
297,Rachael Leigh Cook,/xPcfVq2UMihLNmPvYhFXV0IXiwF.jpg
298,James Cameron,/6Zk8h1XsPGKUM8M8cKUHAnmnc8O.jpg
299,Jonah Hill,/paKfXGK2gnYHWkqe1NiQR1pGac7.jpg
300,Kellan Lutz,/sNgRpXCVyDesWJReOX2cNa7oijS.jpg
301,Joseph Gordon-Levitt,/zSuXCR6xCKIgo0gWLdp8moMlH3I.jpg
302,Ian McKellen,/c51mP46oPgAgFf7bFWVHlScZynM.jpg
303,Garrett Hedlund,/2UXqL30fM8ygySH0I5iy5RFx9Tp.jpg
304,Amy Poehler,/qvVYBwZncnWoiu48GklLXQKMngm.jpg
305,Elijah Wood,/r3XfDLyaaMb3RKWcsmGggRTMEhe.jpg
306,Adam Baldwin,/vhZ8AD36h09mBLuyIXboglRLgIu.jpg
307,Eva Green,/qXlDuXpDlx7JTxtB78qG9DgKIzz.jpg
308,Michelle Williams,/zUvxAK66dVIOMH7M0yZWGkkwZGL.jpg
309,Lea Thompson,/dA1BESp4Now9aULstKMReI8hzui.jpg
310,Ivy Chen,/ukRPIkzQx9JB8G4snx3rK9tCegf.jpg
311,Kris Kristofferson,/hiGkNoiAwnUgY9XZ3YhiWMvKngi.jpg
312,ناهد جبر,/1CbTJkFTxcTGzd8g6yRH9kXit6Y.jpg
313,Shannon Tweed,/cfHhjZIPqXXOZ9rsQguofYrTQL9.jpg
314,Hayley Atwell,/w6xp5nvj8boZTJ24ZH4bhh4Lx7B.jpg
315,Kelly Overton,/z4ConG73glBC7RJPOUvClLlb0k5.jpg
316,Emma Roberts,/yzf0nMrsxf1LjeFtoIw6Qwh7GpG.jpg
317,Ken Duken,/tuyAiTfdMeUwR4qLUJButZmRZDd.jpg
318,Ray Stevenson,/bcd9uqwfCVYsu7rduZnPVYUkyfU.jpg
319,Tony Leung Ka-Fai,/vxrUpkWMqWYMjx5bg8Q0fioBrQg.jpg
320,Gwyneth Paltrow,/66uyrmrE4igiAd2H4tMol5nGopx.jpg
321,Ray Liotta,/o4jJSH3sri9dSIJwsCgT4de1535.jpg
322,Christopher Lloyd,/iQzG9apaIsHnn7iGrer3YEDp8Zo.jpg
323,Raquel Welch,/dEr7QkkgOqCwH1uc5VXzTxDveAv.jpg
324,Rebecca Harrell Tickell,/mGAUC2E40RndJukuHNahGbA0xsM.jpg
325,Jodie Foster,/9M6PpoJGwjhTantETojfFDc3VhW.jpg
326,Stellan Skarsgård,/hjWdhX7zEI0DkF7gA4hcEVcYCZl.jpg
327,Pam Grier,/8NaNIFhKySQ2fkwSlhoOGFgqtHO.jpg
328,Kim Cattrall,/A6jOlVc2aMgVSLZSGJHppYdzafq.jpg
329,Victor Mature,/pH8HaqCRhhWcP2VkaHli6eZllxy.jpg
